code,hex,red,green,blue,bead_count
P01,#0A0B0A,10,11,10,888
P02,#161412,22,20,18,238
P03,#211C19,33,28,25,255
P04,#392A23,57,42,35,61
P05,#5E402F,94,64,47,55
P06,#865737,134,87,55,27
P07,#846E5B,132,110,91,8
P08,#A1605D,161,96,93,57
P09,#976E4E,151,110,78,22
P10,#A97048,169,112,72,39
P11,#C87A78,200,122,120,251
P12,#B18B6C,177,139,108,28
P13,#CC8151,204,129,81,57
P14,#C7936A,199,147,106,84
P15,#D88A86,216,138,134,323
P16,#E49691,228,150,145,747
P17,#E79B66,231,155,102,125
P18,#C6AA89,198,170,137,35
P19,#E9AB7A,233,171,122,112
P20,#FABD88,250,189,136,378
P21,#FBC495,251,196,149,367
P22,#EED2AD,238,210,173,207
P23,#F6DCB8,246,220,184,113
P24,#FDE7C1,253,231,193,1139
