code,hex,red,green,blue,bead_count
P01,#090A0A,9,10,10,160
P02,#0E0F11,14,15,17,696
P03,#171515,23,21,21,263
P04,#1E1B1A,30,27,26,428
P05,#2D2421,45,36,33,106
P06,#442D23,68,45,35,77
P07,#5F422C,95,66,44,53
P08,#7C5435,124,84,53,81
P09,#86514E,134,81,78,35
P10,#9B6E49,155,110,73,105
P11,#93775C,147,119,92,52
P12,#C27776,194,119,118,353
P13,#C58556,197,133,86,79
P14,#BF9268,191,146,104,73
P15,#AC9986,172,153,134,25
P16,#E28964,226,137,100,26
P17,#DF8F8D,223,143,141,848
P18,#E7A06A,231,160,106,179
P19,#D7B999,215,185,153,42
P20,#EDB47F,237,180,127,161
P21,#FBC690,251,198,144,1035
P22,#ECCEAF,236,206,175,125
P23,#F4D9B9,244,217,185,148
P24,#FCE1C2,252,225,194,1031
