row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
65,,,,,,,,,,P03,P09,P09,P09,P09,P09,P09,P09,P09,P07,P09,P09,P07,P03,P03,,,P03,P24,P24,P24,P24,P24,P24,P24,P24,P15,P07,P07,P08,P21,P15,P15,P14,P21,P24,P24,P24,P24,P24,P24,P08,P07,P07,P09,P09,P09,P09,P09,P07,P05,P09,P09,P09,P09,P07,P07,P05,P05,P10,P16,P16,P16,P16,P16,P16,P03,,,,,,,,,,,
66,,,,,,,,,,P03,P09,P09,P09,P09,P09,P09,P09,P07,P09,P09,P09,P09,P09,P07,P03,P03,P08,P08,P15,P15,P21,P24,P24,P24,P24,P15,P07,P07,P05,P14,P10,P08,P12,P06,P12,P21,P21,P21,P21,P19,P19,P21,P21,P19,P15,P09,P09,P09,P09,P07,P05,P07,P09,P09,P05,P05,P05,P02,P04,P16,P16,P16,P16,P16,P03,,,,,,,,,,,,
67,,,,,,,,,,P03,P09,P09,P09,P09,P09,P09,P07,P09,P09,P09,P09,P09,P07,P09,P09,P09,P09,P09,P09,P09,P09,P09,P11,P15,P15,P15,P07,P07,P07,P09,P13,P12,P06,P01,P10,P21,P21,P21,P24,P24,P21,P21,P21,P24,P24,P19,P09,P09,P09,P09,P07,P02,P02,P02,P02,P02,P02,P02,P04,P16,P16,P16,P16,P03,,,,,,,,,,,,,
68,,,,,,,,,,P03,P09,P09,P09,P09,P09,P09,P07,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P13,P13,P13,P13,P13,P13,P13,P12,P19,P16,P21,P21,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P07,P09,P09,P09,P07,P05,P02,P02,P02,P02,P02,P04,P14,P14,P16,P03,,,,,,,,,,,,,,
69,,,,,,,,,,P03,P07,P07,P09,P09,P07,P09,P07,P07,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P13,P13,P13,P13,P13,P13,P13,P12,P12,P24,P24,P21,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P19,P07,P09,P09,P07,P05,P05,P02,P02,P02,P02,P04,P04,P14,P03,,,,,,,,,,,,,,,
70,,,,,,,,,,P03,P05,P07,P07,P07,P07,P07,P05,P09,P07,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P13,P13,P13,P13,P13,P13,P15,P12,P14,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P24,P24,P15,P07,P07,P07,P05,P05,P02,P02,P02,P04,P04,P04,P04,P03,,,,,,,,,,,,,,,
71,,,,,,,,,,P03,P02,P02,P05,P07,P05,P05,P05,P07,P05,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P13,P13,P13,P13,P13,P13,P13,P12,P06,P21,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P21,P24,P24,P21,P07,P07,P05,P02,P02,P02,P02,P02,P04,P04,P04,P03,,,,,,,,,,,,,,,,
72,,,,,,,,,,,P03,P03,P01,P02,P02,P02,P02,P05,P02,P07,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P09,P13,P13,P13,P13,P13,P15,P12,P19,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P24,P24,P21,P21,P14,P05,P02,P02,P02,P02,P02,P02,P04,P04,P04,P03,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,P03,P01,P01,P01,P03,P03,P03,P03,P05,P04,P07,P07,P09,P09,P09,P09,P09,P09,P09,P09,P07,P07,P13,P13,P13,P13,P12,P10,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P21,P16,P02,P02,P02,P02,P02,P02,P02,P14,P08,P03,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,P03,P14,P10,P19,P03,,,,,P03,P03,P03,P05,P05,P07,P09,P07,P07,P09,P09,P13,P13,P13,P13,P13,P13,P13,P12,P10,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P21,P21,P16,P04,P02,P02,P02,P02,P02,P04,P16,P16,P03,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,P03,P19,P19,P16,P03,,,,,,,,P03,P03,P02,P05,P07,P05,P09,P07,P13,P13,P13,P13,P13,P13,P13,P12,P06,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P24,P19,P16,P04,P02,P02,P02,P02,P02,P10,P16,P03,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,P03,P23,P23,P16,P03,P03,,,,,,,,,,P03,P03,P02,P02,P05,P05,P13,P13,P13,P05,P13,P13,P13,P12,P10,P16,P21,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P19,P16,P16,P02,P02,P02,P02,P02,P02,P14,P16,P03,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,P03,P17,P19,P10,P03,P03,,,,,,,,,,,,P03,P04,P04,P07,P09,P09,P13,P07,P13,P13,P13,P12,P06,P16,P16,P16,P19,P21,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P19,P16,P16,P10,P01,P02,P02,P02,P02,P02,P16,P03,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,P03,P17,P17,P06,P03,P03,,,,,,,,,,,,P03,P10,P06,P08,P08,P07,P07,P05,P09,P13,P13,P12,P06,P19,P16,P16,P16,P16,P19,P21,P24,P24,P24,P24,P24,P24,P21,P21,P16,P16,P16,P10,P01,P01,P02,P02,P02,P02,P03,P03,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,P03,P10,P17,P10,P06,P03,,,,,,,,,,,,,P03,P03,P03,P04,P07,P07,P05,P05,P09,P09,P12,P06,P21,P16,P16,P16,P16,P16,P16,P16,P24,P24,P24,P24,P21,P16,P16,P16,P16,P06,P01,P01,P01,P02,P02,P02,P03,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,P03,P06,P14,P19,P19,P03,,,,,,,,,,,,,,,P03,P03,P09,P09,P07,P05,P07,P08,P12,P01,P16,P16,P16,P16,P16,P16,P16,P16,P19,P24,P24,P24,P16,P16,P16,P14,P03,P01,P01,P01,P01,P01,P01,P03,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,P03,P06,P23,P03,,,,,,,,,,,,,,,,,,P03,P09,P09,P01,P04,P04,P06,P01,P01,P16,P16,P16,P16,P16,P16,P16,P19,P19,P19,P16,P16,P14,P01,P01,P01,P01,P01,P01,P01,P01,P01,P03,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,P03,P03,P03,,,,,,,,,,,,,,,,,,,,P03,P09,P01,P01,P04,P12,P01,P01,P14,P16,P16,P16,P16,P14,P10,P10,P14,P14,P14,P06,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P03,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,P03,P03,P03,,,,,,,,,,,,,,,,,,,,P03,P05,P01,P01,P01,P06,P03,P01,P03,P06,P06,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P03,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P03,P04,P01,P01,P01,P06,P03,P03,P03,P03,P01,P01,P01,P01,P02,P02,P02,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P03,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P03,P04,P03,P01,P01,P01,P03,P03,P03,P01,P01,P01,P01,P01,P02,P02,P02,P02,P02,P02,P01,P01,P01,P01,P01,P01,P02,P01,P01,P01,P02,P03,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P03,P04,P03,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P01,P02,P02,P02,P02,P02,P03,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,P03,,,,,,,,,,,,,,,,,,,,
