code,hex,red,green,blue,bead_count
P01,#0F0F11,15,15,17,687
P02,#1C1A19,28,26,25,435
P03,#2A2420,42,36,32,74
P04,#422D26,66,45,38,40
P05,#5B3F2A,91,63,42,46
P06,#6B4141,107,65,65,21
P07,#7C5334,124,83,52,52
P08,#7C6047,124,96,71,23
P09,#955A56,149,90,86,37
P10,#9E6F49,158,111,73,88
P11,#9B7D63,155,125,99,34
P12,#BE7272,190,114,114,221
P13,#CB7E7D,203,126,125,179
P14,#B98C64,185,140,100,55
P15,#C88959,200,137,89,50
P16,#D68886,214,136,134,232
P17,#E28964,226,137,100,18
P18,#E0908D,224,144,141,763
P19,#C3A78B,195,167,139,50
P20,#E9A36D,233,163,109,127
P21,#DCAA7A,220,170,122,55
P22,#F9C38D,249,195,141,831
P23,#ECCFAF,236,207,175,290
P24,#FBE1C1,251,225,193,1252
