row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
1,,,,,,,,,,,,,,,,,,,,,P16,P08,P16,P19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,P16,P08,P16,P19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,P16,P08,P19,P16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,P04,P16,P08,P19,P16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,P14,P16,P08,P20,P08,,,,,,,,,,,,,,,,,,,,,,,,,,P08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,P16,P14,P04,P23,,,,,,,,,,,,,,,,,,,,,,,P14,P19,P19,P19,P19,P19,P19,P19,P16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,P16,P14,P08,P23,,,,,,,,,,,,,,,,,,,,,P14,P19,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P19,P14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,P16,P14,P08,P20,,,,,,,,,,,,,,,,,,,P14,P19,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,P16,P14,P14,P19,,,,,,,,,,,,,,,,,,P14,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,P16,P14,P14,P19,,,,,,,,,,,,,,,,,P08,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P16,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,P19,P08,P16,P19,,,,,,,,,,,,,,,,,P19,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,P23,,,,,,,,,,,,,,,,,,,,,,,,,,,
