code,hex,red,green,blue,bead_count
F10,#874628,135,70,40,305
F11,#592323,89,35,35,102
F13,#F45C45,244,92,69,77
F23,#ED806C,237,128,108,12
G7,#985C3A,152,92,58,4
G20,#A5452F,165,69,47,142
