row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
32,,,,,,,,,,,,,,,,,,,,,P01,P04,P04,P04,P02,P02,P02,P04,P04,P01,P02,P04,P05,P04,P05,P02,P06,P21,P20,P20,P20,P20,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P23,P09,P01,P01,P02,P02,P01,P01,P01,P06,P21,P23,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P20,P09,P07,P07,P09,P14,P23,P24,P24,P24,P24,P23,P03,P02,P10,P23,P16,P16,P14,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,P02,P01,P04,P02,P02,P02,P04,P04,P02,P01,P04,P04,P04,P04,P04,P05,P16,P14,P14,P10,P07,P06,P07,P14,P23,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P23,P09,P01,P01,P02,P02,P01,P02,P02,P06,P21,P23,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P20,P07,P07,P09,P09,P09,P09,P09,P09,P09,P20,P24,P24,P20,P06,P02,P23,P16,P23,P21,P20,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,P02,P01,P04,P02,P04,P04,P04,P04,P01,P02,P02,P04,P04,P04,P03,P21,P24,P24,P24,P24,P24,P23,P14,P07,P07,P14,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P23,P07,P01,P01,P01,P02,P01,P02,P02,P06,P21,P23,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P20,P09,P07,P07,P09,P14,P23,P24,P24,P24,P23,P07,P14,P09,P06,P06,P01,P20,P21,P24,P21,P23,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,P01,P01,P04,P04,P04,P04,P04,P02,P02,P01,P02,P02,P04,P04,P03,P16,P24,P24,P24,P20,P20,P20,P24,P24,P24,P20,P09,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P06,P01,P01,P01,P01,P01,P01,P02,P05,P21,P21,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P16,P07,P14,P24,P24,P24,P24,P24,P24,P24,P24,P20,P06,P07,P14,P14,P01,P14,P23,P24,P23,P20,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,P01,P01,P04,P04,P04,P04,P01,P02,P01,P01,P01,P04,P04,P01,P06,P20,P24,P20,P09,P14,P14,P12,P09,P09,P20,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P21,P02,P01,P01,P01,P01,,P01,P01,P01,P21,P21,P24,P23,P20,P14,P14,P20,P24,P24,P24,P24,P24,P24,P24,P23,P09,P20,P24,P24,P20,P10,P05,P06,P15,P10,P24,P24,P07,P24,P24,P23,P01,P12,P21,P23,P23,P14,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,P01,P02,P04,P04,P04,P01,P01,P01,P01,P01,P04,P04,P01,P09,P07,P06,P07,P07,P14,P15,P05,P05,P06,P14,P12,P09,P24,P24,P24,P24,P24,P24,P23,P10,P07,P07,P09,P20,P16,P01,P01,P01,P01,P01,,P01,P01,P01,P12,P21,P14,P07,P06,P07,P09,P09,P20,P24,P24,P24,P24,P24,P20,P20,P14,P24,P24,P15,P15,P03,P03,P06,P27,P24,P24,P24,P09,P23,P24,P23,P06,P14,P21,P21,P24,P14,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,P01,P01,P04,P05,P04,P02,P01,P01,P01,P01,P01,P04,P02,P06,P23,P23,P16,P07,P20,P23,P26,P05,P02,P03,P15,P20,P20,P09,P24,P24,P24,P24,P23,P21,P21,P20,P20,P14,P07,P07,P01,P01,P01,P01,P01,,,P01,P01,P09,P16,P12,P09,P07,P09,P09,P09,P09,P09,P20,P20,P09,P07,P07,P06,P20,P24,P24,P24,P27,P07,P07,P20,P24,P24,P24,P24,P14,P20,P24,P24,P07,P20,P16,P21,P24,P09,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,P01,P01,P05,P05,P02,P01,P01,P01,P01,P01,P04,P04,P01,P12,P24,P24,P24,P07,P24,P24,P24,P14,P06,P15,P27,P22,P24,P14,P20,P24,P24,P23,P21,P24,P24,P24,P24,P24,P23,P06,P01,P01,P01,P01,P01,,,P01,P01,P06,P09,P09,P20,P24,P24,P24,P24,P24,P24,P09,P07,P14,P24,P24,P14,P14,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P14,P20,P24,P24,P12,P14,P16,P23,P24,P06,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,P01,P04,P05,P04,P01,P01,P01,P01,P01,P01,P04,P01,P03,P23,P24,P24,P24,P09,P24,P24,P24,P24,P24,P23,P23,P24,P24,P14,P07,P09,P09,P21,P23,P14,P09,P09,P07,P09,P16,P02,P01,P01,P01,P01,P01,,,,P01,P03,P09,P21,P24,P24,P24,P10,P07,P07,P20,P20,P07,P23,P24,P24,P23,P07,P09,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P09,P24,P24,P24,P16,P12,P23,P24,P23,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,P01,P01,P05,P05,P02,P01,P01,P01,P01,P01,P01,P04,P01,P07,P23,P24,P24,P24,P09,P24,P24,P24,P24,P24,P24,P24,P24,P12,P07,P20,P23,P12,P07,P06,P03,P05,P06,P14,P20,P07,P03,P01,P01,P01,P01,P01,,,,P03,P05,P06,P21,P24,P14,P15,P05,P05,P03,P22,P23,P07,P12,P24,P24,P24,P09,P07,P20,P24,P24,P24,P24,P24,P24,P24,P24,P24,P09,P24,P24,P24,P21,P23,P24,P24,P14,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,P01,P01,P05,P04,P01,P01,P01,P01,P01,P01,P04,P01,P01,P09,P23,P24,P24,P24,P09,P23,P24,P24,P24,P24,P24,P24,P20,P09,P09,P24,P24,P12,P07,P15,P03,P03,P15,P15,P12,P06,P01,P01,P01,P01,P04,P01,,,,P06,P07,P03,P16,P21,P10,P27,P22,P07,P14,P24,P24,P07,P09,P24,P24,P24,P23,P07,P23,P24,P24,P24,P24,P24,P24,P24,P24,P14,P24,P24,P24,P24,P21,P23,P24,P24,P06,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,P01,P02,P05,P02,P01,P01,P01,P01,P01,P02,P04,P01,P01,P12,P23,P24,P24,P24,P24,P09,P24,P24,P24,P24,P24,P24,P20,P07,P23,P24,P24,P09,P07,P24,P20,P10,P25,P23,P16,P01,P01,P01,P01,P02,P04,,,,P06,P06,P12,P09,P12,P21,P24,P24,P24,P24,P24,P24,P24,P07,P12,P23,P24,P24,P24,P20,P10,P24,P24,P24,P24,P24,P24,P24,P14,P14,P24,P24,P24,P24,P21,P20,P23,P07,,,,,,,,,,,,,
