code,hex,red,green,blue,bead_count
F6,#913635,145,54,53,0
F10,#874628,135,70,40,143
F11,#592323,89,35,35,148
F13,#F45C45,244,92,69,44
F19,#BE454A,190,69,74,0
G7,#985C3A,152,92,58,2
G8,#713D2F,113,61,47,15
G20,#A5452F,165,69,47,63
