code,hex,red,green,blue,bead_count
A20,#F9D666,249,214,102,213
A26,#FFC734,255,199,52,250
F15,#D50527,213,5,39,5
G5,#E7B34E,231,179,78,538
G6,#E3A014,227,160,20,124
H4,#878787,135,135,135,125
H15,#9AA6A6,154,166,166,150
M15,#747D7A,116,125,122,73
