row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,A20,G6,A26,G5,H15,M15,H15,G5,A26,G6,A20,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,G5,G5,G6,G5,H15,M15,H15,G5,G6,G5,G5,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,G5,G5,A20,G5,G5,H15,M15,H15,G5,G5,A20,G5,G5,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,G5,,A20,G5,G5,H15,M15,H15,G5,G5,A20,,G5,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G5,,G5,G5,G5,H15,M15,H15,G5,G5,G5,,G5,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G5,,G5,G5,G5,H15,M15,H15,G5,G5,G5,,G5,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,A20,,,G5,G5,G5,H15,M15,H15,G5,G5,G5,,,A20,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A20,,,A20,G5,G5,H15,M15,H15,G5,G5,A20,,,A20,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,G5,G5,A20,A20,G5,H15,M15,H15,G5,A20,A20,G5,G5,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,A26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G6,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,G6,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G6,A26,A20,H4,H15,M15,H15,H4,A20,A26,G6,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,A20,G6,A26,A20,H4,H15,M15,H15,H4,A20,A26,G6,A20,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,,G5,G5,G6,A20,H4,H15,M15,H15,H4,A20,G6,G5,G5,,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,G5,A20,G6,A20,H4,H15,M15,H15,H4,A20,G6,A20,G5,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,G5,G6,A20,H4,H15,M15,H15,H4,A20,G6,G5,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,G5,G5,A20,H4,H15,M15,H15,H4,A20,G5,G5,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A20,G5,,,G5,G5,A20,H4,H15,M15,H15,H4,A20,G5,G5,,,G5,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
