row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G5,,,G5,G5,A20,H4,H15,M15,H15,H4,A20,G5,G5,,,G5,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G5,,,G5,G5,A20,H4,H15,M15,H15,H4,A20,G5,G5,,,G5,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,G5,,,G5,A20,A20,H4,H15,M15,H15,H4,A20,A20,G5,,,G5,A26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,G5,,,A20,A20,A20,H4,H15,M15,H15,H4,A20,A20,A20,,,G5,A26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,A20,G5,G5,A20,A26,A20,H4,H15,M15,H15,H4,A20,A26,A20,G5,G5,A20,A26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,A26,A20,A20,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A20,A20,A26,A26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,A26,A26,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A26,A26,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,A26,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,A26,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,,,G5,G6,A26,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,A26,G6,G5,,,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,G5,G5,A26,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,A26,G5,G5,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,,A20,G6,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,G6,A20,,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G5,,,G5,G6,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,G6,G5,,,G5,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G5,,,G5,G5,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,G5,G5,,,G5,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,,,G5,A20,A26,A26,G5,H4,H15,M15,H15,H4,G5,A26,A26,A20,G5,,,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,,,G5,A20,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A20,G5,,,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,G5,,,G5,A20,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,A20,G5,,,G5,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G6,G5,,,G5,G5,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,G5,G5,,,G5,G6,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,A20,G5,,G5,G5,A26,A26,A20,H4,H15,M15,H15,H4,A20,A26,A26,G5,G5,,G5,A20,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G5,A20,A20,A20,A26,A26,A26,A20,H4,H4,M15,H4,H4,A20,A26,A26,A26,A20,A20,A20,G5,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,G5,G5,G6,A26,A26,G6,G5,H4,H4,M15,H4,H4,G5,G6,A26,A26,G6,G5,G5,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,G6,G6,A26,A26,A26,G6,G5,H15,H4,M15,H4,H15,G5,G6,A26,A26,A26,G6,G6,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,G6,G6,G6,A26,G6,A20,H4,H15,H15,M15,H15,H15,H4,A20,G6,A26,G6,G6,G6,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,G6,A20,G5,A20,G5,G5,G5,H15,H15,H15,F15,H15,H15,H15,G5,G5,G5,A20,G5,A20,G6,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G5,G5,H4,G5,G5,H4,H15,H15,H4,F15,H4,H15,H15,H4,G5,G5,H4,G5,G5,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G5,H4,H15,H15,H15,H4,H15,F15,F15,F15,H15,H4,H15,H15,H15,H4,G5,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,H4,H15,H15,H4,H4,H15,H4,H4,H4,H15,H4,H4,H15,H15,H4,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,H4,H4,H15,H15,H4,H15,M15,H15,H4,H15,H15,H4,H4,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,A20,G5,H4,H15,H4,M15,H4,H15,H4,G5,A20,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G6,G5,G5,H4,H15,M15,H15,H4,G5,G5,G6,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,G5,G5,H15,M15,H15,G5,G5,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,,G5,G5,G6,G6,G5,H15,M15,H15,G5,G6,G6,G5,G5,,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,G5,G5,G6,G6,G5,H15,M15,H15,G5,G6,G6,G5,G5,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,,G5,G5,G6,G5,H15,M15,H15,G5,G6,G5,G5,,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,,G5,G5,G6,G5,H15,M15,H15,G5,G6,G5,G5,,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,G5,G6,A20,H15,M15,H15,A20,G6,G5,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G5,G5,G5,G6,A20,H4,M15,H4,A20,G6,G5,G5,G5,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G6,G5,G5,G5,G6,G5,H15,M15,H15,G5,G6,G5,G5,G5,G6,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G5,G6,G6,G5,H15,M15,H15,G5,G6,G6,G5,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,A20,H4,H15,M15,H15,H4,A20,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,G5,G5,H15,M15,H15,G5,G5,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G6,G5,H4,M15,H4,G5,G6,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,G5,G6,G5,G5,M15,G5,G5,G6,G5,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,G6,G5,M15,G5,G6,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A26,G5,A26,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A20,A20,A20,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,A26,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
