row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
1,,,,,,,,,,,,,,,,,P04,P04,P04,P04,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,P04,P14,P04,P24,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,,P04,P04,P04,P04,P04,P04,P04,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,P04,P04,P22,P24,P22,P22,P24,P24,P24,P24,P04,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,,,P04,P04,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P04,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,P04,P04,P24,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,,P04,P24,P22,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,P04,P24,P24,P22,P22,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P24,P04,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P22,P24,P04,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P24,P24,P24,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P18,P04,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P24,P24,P22,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P24,P24,P24,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P22,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P24,P24,P24,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P22,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P24,P22,P22,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P24,P22,P22,P16,P19,P15,P14,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P24,P24,P24,P18,P18,P16,P17,P21,P21,P21,P17,P22,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P24,P22,P04,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P22,P22,P22,P14,P19,P17,P21,P21,P21,P21,P21,P19,P22,P24,P24,P24,P24,P22,P22,P24,P24,P22,P22,P22,P22,P04,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P22,P22,P22,P22,P19,P21,P21,P21,P21,P21,P21,P21,P22,P22,P24,P24,P24,P24,P22,P18,P22,P22,P22,P22,P22,P04,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P22,P22,P22,P22,P17,P21,P21,P21,P21,P21,P21,P21,P21,P19,P19,P24,P24,P24,P24,P22,P18,P18,P18,P22,P24,P24,P04,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P22,P22,P22,P19,P21,P21,P21,P21,P21,P21,P21,P21,P21,P19,P21,P15,P22,P24,P24,P22,P22,P22,P18,P18,P18,P18,P04,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,P04,P18,P22,P22,P11,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P22,P21,P17,P16,P22,P22,P22,P22,P22,P18,P18,P18,P04,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,P04,P22,P18,P13,P17,P17,P21,P21,P21,P21,P21,P21,P21,P21,P17,P19,P11,P05,P11,P18,P22,P22,P22,P22,P18,P18,P04,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,P04,P18,P13,P13,P05,P05,P11,P15,P17,P21,P21,P21,P11,P03,P02,P16,P04,P02,P07,P13,P14,P18,P18,P18,P18,P04,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,P04,P16,P15,P13,P02,P25,P04,P04,P05,P17,P21,P13,P07,P06,P16,P25,P14,P14,P17,P13,P10,P14,P14,P14,P04,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,,,,,,P04,P18,P15,P17,P05,P06,P11,P13,P17,P17,P21,P21,P21,P17,P13,P05,P05,P17,P17,P17,P14,P16,P22,P14,P18,P04,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,,P04,P04,,,,P04,P22,P11,P21,P17,P17,P17,P21,P21,P21,P21,P21,P21,P21,P21,P21,P17,P21,P21,P17,P11,P18,P22,P18,P18,P22,P04,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,,P04,P04,P04,,,,P04,P18,P10,P17,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P17,P21,P17,P06,P18,P22,P24,P18,P22,P04,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,,P04,P01,P04,P04,P04,,,P04,P18,P14,P13,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P17,P17,P06,P14,P24,P24,P22,P22,P22,P04,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,,P04,P01,P04,P04,P04,P04,,,P04,P22,P16,P10,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P17,P17,P04,P14,P22,P24,P24,P22,P24,P24,P04,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,P04,P01,P04,P04,P04,P04,P04,P04,,P04,P24,P16,P10,P17,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P21,P17,P17,P13,P04,P14,P22,P24,P24,P24,P24,P24,P24,P04,P04,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,P04,P14,P04,P22,P04,,,,,,,,,,P04,P04,P04,P04,P04,P04,P04,P04,P04,P22,P24,P22,P10,P11,P17,P21,P21,P21,P21,P13,P13,P21,P21,P21,P21,P21,P17,P17,P07,P10,P10,P22,P24,P24,P24,P24,P24,P24,P24,P24,P04,P04,P04,,,,,,,,,,,,,,
