code,hex,red,green,blue,bead_count
A20,#F9D666,249,214,102,134
A26,#FFC734,255,199,52,128
B26,#907C35,144,124,53,213
F15,#D50527,213,5,39,6
G5,#E7B34E,231,179,78,344
G6,#E3A014,227,160,20,216
G8,#713D2F,113,61,47,50
G14,#8B684C,139,104,76,108
H4,#878787,135,135,135,222
H15,#9AA6A6,154,166,166,109
M15,#747D7A,116,125,122,40
