code,hex,red,green,blue,bead_count
P01,#0D0D0C,13,13,12,578
P02,#1E1A17,30,26,23,411
P03,#382923,56,41,35,435
P04,#5E412E,94,65,46,59
P05,#8C5352,140,83,82,21
P06,#94613D,148,97,61,51
P07,#886B54,136,107,84,18
P08,#B06966,176,105,102,56
P09,#AF7C68,175,124,104,11
P10,#B4835C,180,131,92,68
P11,#C87F4F,200,127,79,60
P12,#CA7B7A,202,123,122,249
P13,#D88B87,216,139,135,315
P14,#B99D7F,185,157,127,24
P15,#E59761,229,151,97,96
P16,#D29F74,210,159,116,96
P17,#E49691,228,150,145,740
P18,#EDA875,237,168,117,129
P19,#D8BB97,216,187,151,32
P20,#FABD88,250,189,136,374
P21,#FCC596,252,197,150,359
P22,#EFD3AE,239,211,174,227
P23,#F7DEB9,247,222,185,104
P24,#FDE7C1,253,231,193,1128
